Features	label
8::span:72:73	-1
18::span:73:74	-1
28::span:85:86	-1
38::span:85:86	-1
48::span:75:76	-1
58::span:74:75	-1
68::span:72:73	-1
78::span:87:88	-1
88::span:75:76	-1
98::span:75:76	-1
108::span:73:74	-1
118::span:73:74	-1
128::span:73:74	-1
138::span:76:77	-1
148::span:74:75	-1
158::span:72:73	-1
168::span:76:77	-1
178::span:73:74	-1
188::span:88:89	-1
198::span:74:75	-1
208::span:83:84	-1
218::span:85:86	-1
228::span:74:75	-1
238::span:89:90	-1
248::span:96:97	-1
258::span:82:83	-1
268::span:75:76	-1
278::span:76:77	-1
288::span:85:86	-1
298::span:87:88	-1
308::span:88:89	-1
318::span:77:78	-1
328::span:75:76	-1
338::span:74:75	-1
348::span:88:89	-1
358::span:76:77	-1
368::span:76:77	-1
378::span:77:78	-1
388::span:87:88	-1
398::span:76:77	-1
408::span:86:87	-1
418::span:86:87	-1
428::span:88:89	-1
438::span:85:86	-1
448::span:72:73	-1
458::span:86:87	-1
468::span:77:78	-1
478::span:87:88	-1
488::span:70:71	-1
498::span:76:77	-1
508::span:87:88	-1
518::span:89:90	-1
528::span:76:77	-1
538::span:87:88	-1
548::span:87:88	-1
558::span:88:89	-1
568::span:72:73	-1
578::span:73:74	-1
588::span:87:88	-1
598::span:84:85	-1
608::span:97:98	-1
618::span:88:89	-1
628::span:88:89	-1
638::span:87:88	-1
648::span:77:78	-1
658::span:85:86	-1
668::span:84:85	-1
678::span:71:72	-1
688::span:100:101	-1
698::span:83:84	-1
708::span:76:77	-1
718::span:82:83	-1
728::span:76:77	-1
738::span:76:77	-1
748::span:86:87	-1
758::span:97:98	-1
768::span:77:78	-1
778::span:86:87	-1
788::span:89:90	-1
798::span:88:89	-1
808::span:83:84	-1
818::span:98:99	-1
828::span:95:96	-1
838::span:75:76	-1
848::span:76:77	-1
858::span:75:76	-1
868::span:75:76	-1
878::span:86:87	-1
888::span:86:87	-1
898::span:85:86	-1
908::span:90:91	-1
918::span:85:86	-1
928::span:76:77	-1
938::span:96:97	-1
948::span:98:99	-1
958::span:84:85	-1
968::span:94:95	-1
978::span:75:76	-1
988::span:86:87	-1
998::span:77:78	-1
1008::span:99:100	-1
1018::span:75:76	-1
1028::span:76:77	-1
1038::span:75:76	-1
1048::span:76:77	-1
1058::span:84:85	-1
1068::span:75:76	-1
1078::span:75:76	-1
1088::span:86:87	-1
1098::span:75:76	-1
1108::span:84:85	-1
1118::span:77:78	-1
1128::span:76:77	-1
1138::span:85:86	-1
1148::span:76:77	-1
1158::span:74:75	-1
1168::span:88:89	-1
1178::span:73:74	-1
1188::span:88:89	-1
1198::span:76:77	-1
1208::span:75:76	-1
1218::span:86:87	-1
1228::span:71:72	-1
1238::span:85:86	-1
1248::span:88:89	-1
1258::span:75:76	-1
1268::span:72:73	-1
1278::span:87:88	-1
1288::span:77:78	-1
1298::span:99:100	-1
1308::span:100:101	-1
1318::span:72:73	-1
1328::span:76:77	-1
1338::span:85:86	-1
1348::span:76:77	-1
1358::span:87:88	-1
1368::span:88:89	-1
1378::span:75:76	-1
1388::span:76:77	-1
1398::span:86:87	-1
1408::span:73:74	-1
1418::span:85:86	-1
1428::span:72:73	-1
1438::span:86:87	-1
1448::span:85:86	-1
1458::span:72:73	-1
1468::span:76:77	-1
1478::span:85:86	-1
1488::span:75:76	-1
1498::span:82:83	-1
1508::span:75:76	-1
1518::span:75:76	-1
1528::span:86:87	-1
1538::span:73:74	-1
1548::span:85:86	-1
1558::span:98:99	-1
1568::span:88:89	-1
1578::span:74:75	-1
1588::span:85:86	-1
1598::span:74:75	-1
1608::span:71:72	-1
1618::span:77:78	-1
1628::span:86:87	-1
1638::span:77:78	-1
1648::span:72:73	-1
1658::span:76:77	-1
1668::span:86:87	-1
1678::span:112:113	-1
1688::span:77:78	-1
1698::span:73:74	-1
1708::span:86:87	-1
1718::span:73:74	-1
1728::span:99:100	-1
1738::span:75:76	-1
1748::span:83:84	-1
1758::span:75:76	-1
1768::span:86:87	-1
1778::span:85:86	-1
1788::span:85:86	-1
1798::span:74:75	-1
1808::span:76:77	-1
1818::span:84:85	-1
1828::span:77:78	-1
1838::span:76:77	-1
1848::span:87:88	-1
1858::span:75:76	-1
1868::span:88:89	-1
1878::span:71:72	-1
1888::span:74:75	-1
1898::span:74:75	-1
1908::span:84:85	-1
1918::span:74:75	-1
1928::span:75:76	-1
1938::span:86:87	-1
1948::span:76:77	-1
1958::span:74:75	-1
1968::span:77:78	-1
1978::span:87:88	-1
1988::span:74:75	-1
1998::span:74:75	-1
2008::span:71:72	-1
2018::span:83:84	-1
2028::span:88:89	-1
2038::span:84:85	-1
2048::span:72:73	-1
2058::span:88:89	-1
2068::span:74:75	-1
2078::span:88:89	-1
2088::span:77:78	-1
2098::span:108:109	-1
2108::span:77:78	-1
2118::span:73:74	-1
2128::span:75:76	-1
2138::span:77:78	-1
2148::span:75:76	-1
2158::span:74:75	-1
2168::span:74:75	-1
2178::span:75:76	-1
2188::span:99:100	-1
2198::span:75:76	-1
2208::span:74:75	-1
2218::span:77:78	-1
2228::span:87:88	-1
2238::span:73:74	-1
2248::span:84:85	-1
2258::span:72:73	-1
2268::span:87:88	-1
2278::span:75:76	-1
2288::span:86:87	-1
2298::span:73:74	-1
2308::span:95:96	-1
2318::span:83:84	-1
2328::span:85:86	-1
2338::span:77:78	-1
2348::span:94:95	-1
2358::span:85:86	-1
2368::span:96:97	-1
2378::span:87:88	-1
2388::span:76:77	-1
2398::span:72:73	-1
2408::span:100:101	-1
2418::span:76:77	-1
2428::span:75:76	-1
2438::span:72:73	-1
2448::span:73:74	-1
2458::span:86:87	-1
2468::span:97:98	-1
2478::span:76:77	-1
2488::span:86:87	-1
2498::span:76:77	-1
2508::span:86:87	-1
2518::span:88:89	-1
2528::span:73:74	-1
2538::span:72:73	-1
2548::span:88:89	-1
2558::span:75:76	-1
2568::span:111:112	-1
2578::span:75:76	-1
2588::span:84:85	-1
2598::span:74:75	-1
2608::span:71:72	-1
2618::span:73:74	-1
2628::span:73:74	-1
2638::span:75:76	-1
2648::span:74:75	-1
2658::span:78:79	-1
2668::span:74:75	-1
2678::span:85:86	-1
2688::span:75:76	-1
2698::span:76:77	-1
2708::span:73:74	-1
2718::span:82:83	-1
2728::span:83:84	-1
2738::span:74:75	-1
2748::span:75:76	-1
2758::span:85:86	-1
2768::span:76:77	-1
2778::span:75:76	-1
2788::span:85:86	-1
2798::span:97:98	-1
2808::span:85:86	-1
2818::span:70:71	-1
2828::span:75:76	-1
2838::span:74:75	-1
2848::span:76:77	-1
2858::span:86:87	-1
2868::span:73:74	-1
2878::span:85:86	-1
2888::span:85:86	-1
2898::span:83:84	-1
2908::span:75:76	-1
2918::span:73:74	-1
2928::span:73:74	-1
2938::span:86:87	-1
2948::span:73:74	-1
2958::span:73:74	-1
2968::span:75:76	-1
2978::span:74:75	-1
2988::span:74:75	-1
2998::span:84:85	-1
3008::span:77:78	-1
3018::span:75:76	-1
3028::span:96:97	-1
3038::span:77:78	-1
3048::span:76:77	-1
3058::span:75:76	-1
3068::span:75:76	-1
3078::span:76:77	-1
3088::span:86:87	-1
3098::span:74:75	-1
3108::span:74:75	-1
3118::span:89:90	-1
3128::span:76:77	-1
3138::span:75:76	-1
3148::span:88:89	-1
3158::span:84:85	-1
3168::span:63:64	-1
3178::span:75:76	-1
3188::span:85:86	-1
3198::span:76:77	-1
3208::span:73:74	-1
3218::span:94:95	-1
3228::span:87:88	-1
3238::span:85:86	-1
3248::span:86:87	-1
3258::span:75:76	-1
3268::span:99:100	-1
3278::span:88:89	-1
3288::span:75:76	-1
3298::span:97:98	-1
3308::span:74:75	-1
3318::span:88:89	-1
3328::span:86:87	-1
3338::span:76:77	-1
3348::span:85:86	-1
3358::span:96:97	-1
3368::span:76:77	-1
3378::span:85:86	-1
3388::span:77:78	-1
3398::span:70:71	-1
3408::span:86:87	-1
3418::span:86:87	-1
3428::span:73:74	-1
3438::span:75:76	-1
3448::span:76:77	-1
3458::span:84:85	-1
3468::span:90:91	-1
3478::span:84:85	-1
3488::span:88:89	-1
3498::span:86:87	-1
3508::span:75:76	-1
3518::span:74:75	-1
3528::span:76:77	-1
3538::span:74:75	-1
3548::span:87:88	-1
3558::span:76:77	-1
3568::span:88:89	-1
3578::span:76:77	-1
3588::span:102:103	-1
3598::span:77:78	-1
3608::span:85:86	-1
3618::span:84:85	-1
3628::span:75:76	-1
3638::span:74:75	-1
3648::span:98:99	-1
3658::span:87:88	-1
3668::span:77:78	-1
3678::span:73:74	-1
3688::span:89:90	-1
3698::span:85:86	-1
3708::span:86:87	-1
3718::span:88:89	-1
3728::span:74:75	-1
3738::span:76:77	-1
3748::span:73:74	-1
3758::span:84:85	-1
3768::span:76:77	-1
3778::span:84:85	-1
3788::span:78:79	-1
3798::span:87:88	-1
3808::span:72:73	-1
3818::span:74:75	-1
3828::span:75:76	-1
3838::span:76:77	-1
3848::span:90:91	-1
3858::span:88:89	-1
3868::span:84:85	-1
3878::span:73:74	-1
3888::span:75:76	-1
3898::span:73:74	-1
3908::span:74:75	-1
3918::span:73:74	-1
3928::span:101:102	-1
3938::span:97:98	-1
3948::span:85:86	-1
3958::span:86:87	-1
3968::span:85:86	-1
3978::span:74:75	-1
3988::span:85:86	-1
3998::span:76:77	-1
4008::span:73:74	-1
4018::span:87:88	-1
4028::span:76:77	-1
4038::span:73:74	-1
4048::span:74:75	-1
4058::span:73:74	-1
4068::span:76:77	-1
4078::span:76:77	-1
4088::span:85:86	-1
4098::span:86:87	-1
4108::span:74:75	-1
4118::span:74:75	-1
4128::span:99:100	-1
4138::span:94:95	-1
4148::span:74:75	-1
4158::span:74:75	-1
4168::span:74:75	-1
4178::span:73:74	-1
4188::span:112:113	-1
4198::span:74:75	-1
4208::span:73:74	-1
4218::span:71:72	-1
4228::span:74:75	-1
4238::span:75:76	-1
4248::span:76:77	-1
4258::span:74:75	-1
4268::span:86:87	-1
4278::span:86:87	-1
4288::span:70:71	-1
4298::span:77:78	-1
4308::span:76:77	-1
4318::span:76:77	-1
4328::span:86:87	-1
4338::span:75:76	-1
4348::span:76:77	-1
4358::span:87:88	-1
4368::span:73:74	-1
4378::span:72:73	-1
4388::span:84:85	-1
4398::span:89:90	-1
4408::span:74:75	-1
4418::span:84:85	-1
4428::span:86:87	-1
4438::span:73:74	-1
4448::span:74:75	-1
4458::span:76:77	-1
4468::span:81:82	-1
4478::span:74:75	-1
4488::span:75:76	-1
4498::span:73:74	-1
4508::span:73:74	-1
4518::span:76:77	-1
4528::span:77:78	-1
4538::span:75:76	-1
4548::span:74:75	-1
4558::span:77:78	-1
4568::span:73:74	-1
4578::span:75:76	-1
4588::span:96:97	-1
4598::span:73:74	-1
4608::span:84:85	-1
4618::span:87:88	-1
4628::span:76:77	-1
4638::span:73:74	-1
4648::span:87:88	-1
4658::span:73:74	-1
4668::span:85:86	-1
4678::span:77:78	-1
4688::span:99:100	-1
4698::span:84:85	-1
4708::span:72:73	-1
4718::span:75:76	-1
4728::span:70:71	-1
4738::span:73:74	-1
4748::span:109:110	-1
4758::span:86:87	-1
4768::span:84:85	-1
4778::span:84:85	-1
4788::span:82:83	-1
4798::span:74:75	-1
4808::span:85:86	-1
4818::span:76:77	-1
4828::span:74:75	-1
4838::span:71:72	-1
4848::span:75:76	-1
4858::span:86:87	-1
4868::span:97:98	-1
4878::span:86:87	-1
4888::span:85:86	-1
4898::span:88:89	-1
4908::span:89:90	-1
4918::span:73:74	-1
4928::span:77:78	-1
4938::span:75:76	-1
4948::span:71:72	-1
4958::span:83:84	-1
4968::span:75:76	-1
4978::span:86:87	-1
4988::span:86:87	-1
4998::span:75:76	-1
5008::span:86:87	-1
5018::span:87:88	-1
5028::span:84:85	-1
5038::span:86:87	-1
5048::span:77:78	-1
5058::span:73:74	-1
5068::span:84:85	-1
5078::span:87:88	-1
5088::span:71:72	-1
5098::span:76:77	-1
5108::span:73:74	-1
5118::span:86:87	-1
5128::span:85:86	-1
5138::span:99:100	-1
5148::span:84:85	-1
5158::span:71:72	-1
5168::span:86:87	-1
5178::span:71:72	-1
5188::span:84:85	-1
5198::span:73:74	-1
5208::span:74:75	-1
5218::span:74:75	-1
5228::span:72:73	-1
5238::span:74:75	-1
5248::span:98:99	-1
5258::span:83:84	-1
5268::span:86:87	-1
5278::span:74:75	-1
5288::span:101:102	-1
5298::span:82:83	-1
5308::span:73:74	-1
5318::span:99:100	-1
5328::span:74:75	-1
5338::span:77:78	-1
5348::span:88:89	-1
5358::span:85:86	-1
5368::span:84:85	-1
5378::span:110:111	-1
5388::span:110:111	-1
5398::span:76:77	-1
5408::span:77:78	-1
5418::span:76:77	-1
5428::span:76:77	-1
5438::span:86:87	-1
5448::span:99:100	-1
5458::span:87:88	-1
5468::span:73:74	-1
5478::span:87:88	-1
5488::span:87:88	-1
5498::span:77:78	-1
5508::span:86:87	-1
5518::span:100:101	-1
5528::span:108:109	-1
5538::span:86:87	-1
5548::span:74:75	-1
5558::span:85:86	-1
5568::span:71:72	-1
5578::span:98:99	-1
5588::span:87:88	-1
5598::span:74:75	-1
5608::span:76:77	-1
5618::span:73:74	-1
5628::span:75:76	-1
5638::span:74:75	-1
5648::span:76:77	-1
5658::span:74:75	-1
5668::span:84:85	-1
5678::span:76:77	-1
5688::span:63:64	-1
5698::span:89:90	-1
5708::span:75:76	-1
5718::span:75:76	-1
5728::span:74:75	-1
5738::span:77:78	-1
5748::span:74:75	-1
5758::span:86:87	-1
5768::span:86:87	-1
5778::span:78:79	-1
5788::span:73:74	-1
5798::span:76:77	-1
5808::span:85:86	-1
5818::span:75:76	-1
5828::span:87:88	-1
5838::span:76:77	-1
5848::span:77:78	-1
5858::span:86:87	-1
5868::span:72:73	-1
5878::span:75:76	-1
5888::span:86:87	-1
5898::span:85:86	-1
5908::span:78:79	-1
5918::span:73:74	-1
5928::span:75:76	-1
5938::span:74:75	-1
5948::span:74:75	-1
5958::span:75:76	-1
5968::span:88:89	-1
5978::span:85:86	-1
5988::span:74:75	-1
5998::span:73:74	-1
6008::span:87:88	-1
6018::span:75:76	-1
6028::span:85:86	-1
6038::span:74:75	-1
6048::span:84:85	-1
6058::span:74:75	-1
6068::span:86:87	-1
6078::span:84:85	-1
6088::span:74:75	-1
6098::span:96:97	-1
6108::span:72:73	-1
6118::span:75:76	-1
6128::span:81:82	-1
6138::span:76:77	-1
6148::span:82:83	-1
6158::span:76:77	-1
6168::span:74:75	-1
6178::span:76:77	-1
6188::span:98:99	-1
6198::span:75:76	-1
6208::span:76:77	-1
6218::span:71:72	-1
6228::span:75:76	-1
6238::span:73:74	-1
6248::span:86:87	-1
6258::span:75:76	-1
6268::span:76:77	-1
6278::span:74:75	-1
6288::span:76:77	-1
6298::span:100:101	-1
6308::span:76:77	-1
6318::span:73:74	-1
6328::span:89:90	-1
6338::span:75:76	-1
6348::span:83:84	-1
6358::span:74:75	-1
6368::span:73:74	-1
6378::span:76:77	-1
6388::span:75:76	-1
6398::span:96:97	-1
6408::span:73:74	-1
6418::span:76:77	-1
6428::span:84:85	-1
6438::span:75:76	-1
6448::span:88:89	-1
6458::span:85:86	-1
6468::span:76:77	-1
6478::span:78:79	-1
6488::span:73:74	-1
6498::span:71:72	-1
6508::span:74:75	-1
6518::span:74:75	-1
6528::span:85:86	-1
6538::span:72:73	-1
6548::span:85:86	-1
6558::span:88:89	-1
6568::span:74:75	-1
6578::span:77:78	-1
6588::span:86:87	-1
6598::span:87:88	-1
6608::span:87:88	-1
6618::span:88:89	-1
6628::span:86:87	-1
6638::span:96:97	-1
6648::span:109:110	-1
6658::span:64:65	-1
6668::span:86:87	-1
6678::span:78:79	-1
6688::span:87:88	-1
6698::span:99:100	-1
6708::span:74:75	-1
6718::span:97:98	-1
6728::span:88:89	-1
6738::span:87:88	-1
6748::span:86:87	-1
6758::span:106:107	-1
6768::span:73:74	-1
6778::span:75:76	-1
6788::span:85:86	-1
6798::span:75:76	-1
6808::span:84:85	-1
6818::span:88:89	-1
6828::span:75:76	-1
6838::span:85:86	-1
6848::span:87:88	-1
6858::span:85:86	-1
6868::span:87:88	-1
6878::span:85:86	-1
6888::span:86:87	-1
6898::span:86:87	-1
6908::span:77:78	-1
6918::span:73:74	-1
6928::span:85:86	-1
6938::span:76:77	-1
6948::span:88:89	-1
6958::span:76:77	-1
6968::span:87:88	-1
6978::span:70:71	-1
6988::span:73:74	-1
6998::span:86:87	-1
7008::span:97:98	-1
7018::span:87:88	-1
7028::span:99:100	-1
7038::span:86:87	-1
7048::span:77:78	-1
7058::span:89:90	-1
7068::span:86:87	-1
7078::span:88:89	-1
7088::span:76:77	-1
7098::span:97:98	-1
7108::span:75:76	-1
7118::span:74:75	-1
7128::span:84:85	-1
7138::span:84:85	-1
7148::span:73:74	-1
7158::span:86:87	-1
7168::span:75:76	-1
7178::span:73:74	-1
7188::span:96:97	-1
7198::span:87:88	-1
7208::span:73:74	-1
7218::span:77:78	-1
7228::span:78:79	-1
7238::span:99:100	-1
7248::span:87:88	-1
7258::span:75:76	-1
7268::span:86:87	-1
7278::span:75:76	-1
7288::span:72:73	-1
7298::span:66:67	-1
7308::span:74:75	-1
7318::span:74:75	-1
7328::span:73:74	-1
7338::span:87:88	-1
7348::span:87:88	-1
7358::span:75:76	-1
7368::span:86:87	-1
7378::span:82:83	-1
7388::span:89:90	-1
7398::span:85:86	-1
7408::span:98:99	-1
7418::span:73:74	-1
7428::span:85:86	-1
7438::span:86:87	-1
7448::span:84:85	-1
7458::span:73:74	-1
7468::span:86:87	-1
7478::span:73:74	-1
7488::span:90:91	-1
7498::span:74:75	-1
7508::span:74:75	-1
7518::span:74:75	-1
7528::span:83:84	-1
7538::span:94:95	-1
7548::span:73:74	-1
7558::span:85:86	-1
7568::span:98:99	-1
7578::span:96:97	-1
7588::span:86:87	-1
7598::span:88:89	-1
7608::span:86:87	-1
7618::span:75:76	-1
7628::span:74:75	-1
7638::span:75:76	-1
7648::span:77:78	-1
7658::span:75:76	-1
7668::span:83:84	-1
7678::span:70:71	-1
7688::span:80:81	-1
7698::span:76:77	-1
7708::span:95:96	-1
7718::span:88:89	-1
7728::span:84:85	-1
7738::span:84:85	-1
7748::span:77:78	-1
7758::span:97:98	-1
7768::span:75:76	-1
7778::span:86:87	-1
7788::span:74:75	-1
7798::span:84:85	-1
7808::span:71:72	-1
7818::span:86:87	-1
7828::span:85:86	-1
7838::span:68:69	-1
7848::span:75:76	-1
7858::span:98:99	-1
7868::span:88:89	-1
7878::span:74:75	-1
7888::span:76:77	-1
7898::span:74:75	-1
7908::span:87:88	-1
7918::span:108:109	-1
7928::span:76:77	-1
7938::span:74:75	-1
7948::span:71:72	-1
7958::span:75:76	-1
7968::span:75:76	-1
7978::span:72:73	-1
7988::span:77:78	-1
7998::span:73:74	-1
8008::span:87:88	-1
8018::span:75:76	-1
8028::span:72:73	-1
8038::span:76:77	-1
8048::span:74:75	-1
8058::span:83:84	-1
8068::span:71:72	-1
8078::span:85:86	-1
8088::span:75:76	-1
8098::span:74:75	-1
8108::span:73:74	-1
8118::span:75:76	-1
8128::span:74:75	-1
8138::span:71:72	-1
8148::span:86:87	-1
8158::span:74:75	-1
8168::span:76:77	-1
8178::span:77:78	-1
8188::span:74:75	-1
8198::span:87:88	-1
8208::span:76:77	-1
8218::span:86:87	-1
8228::span:73:74	-1
8238::span:75:76	-1
8248::span:86:87	-1
8258::span:85:86	-1
8268::span:88:89	-1
8278::span:74:75	-1
8288::span:75:76	-1
8298::span:74:75	-1
8308::span:75:76	-1
8318::span:77:78	-1
8328::span:86:87	-1
8338::span:78:79	-1
8348::span:77:78	-1
8358::span:73:74	-1
8368::span:72:73	-1
8378::span:98:99	-1
8388::span:86:87	-1
8398::span:73:74	-1
8408::span:74:75	-1
8418::span:73:74	-1
8428::span:73:74	-1
8438::span:75:76	-1
8448::span:86:87	-1
8458::span:84:85	-1
8468::span:75:76	-1
8478::span:74:75	-1
8488::span:76:77	-1
8498::span:74:75	-1
8508::span:75:76	-1
8518::span:77:78	-1
8528::span:74:75	-1
8538::span:83:84	-1
8548::span:75:76	-1
8558::span:88:89	-1
8568::span:86:87	-1
8578::span:109:110	-1
8588::span:76:77	-1
8598::span:89:90	-1
8608::span:86:87	-1
8618::span:86:87	-1
8628::span:87:88	-1
8638::span:76:77	-1
8648::span:82:83	-1
8658::span:73:74	-1
8668::span:75:76	-1
8678::span:99:100	-1
8688::span:73:74	-1
8698::span:74:75	-1
8708::span:88:89	-1
8718::span:86:87	-1
8728::span:84:85	-1
8738::span:76:77	-1
8748::span:85:86	-1
8758::span:74:75	-1
8768::span:87:88	-1
8778::span:77:78	-1
8788::span:73:74	-1
8798::span:87:88	-1
8808::span:85:86	-1
8818::span:75:76	-1
8828::span:75:76	-1
8838::span:88:89	-1
8848::span:77:78	-1
8858::span:100:101	-1
8868::span:75:76	-1
8878::span:98:99	-1
8888::span:87:88	-1
8898::span:83:84	-1
8908::span:74:75	-1
8918::span:84:85	-1
8928::span:98:99	-1
8938::span:73:74	-1
8948::span:72:73	-1
8958::span:75:76	-1
8968::span:75:76	-1
8978::span:74:75	-1
8988::span:73:74	-1
8998::span:72:73	-1
9008::span:87:88	-1
9018::span:76:77	-1
9028::span:74:75	-1
9038::span:75:76	-1
9048::span:86:87	-1
9058::span:72:73	-1
9068::span:87:88	-1
9078::span:85:86	-1
9088::span:71:72	-1
9098::span:75:76	-1
9108::span:74:75	-1
9118::span:98:99	-1
9128::span:86:87	-1
9138::span:98:99	-1
9148::span:83:84	-1
9158::span:74:75	-1
9168::span:73:74	-1
9178::span:88:89	-1
9188::span:75:76	-1
9198::span:76:77	-1
9208::span:75:76	-1
9218::span:87:88	-1
9228::span:77:78	-1
9238::span:100:101	-1
9248::span:83:84	-1
9258::span:85:86	-1
9268::span:85:86	-1
9278::span:98:99	-1
9288::span:71:72	-1
9298::span:77:78	-1
9308::span:86:87	-1
9318::span:74:75	-1
9328::span:86:87	-1
9338::span:87:88	-1
9348::span:74:75	-1
9358::span:86:87	-1
9368::span:99:100	-1
9378::span:87:88	-1
9388::span:86:87	-1
9398::span:77:78	-1
9408::span:71:72	-1
9418::span:74:75	-1
9428::span:75:76	-1
9438::span:72:73	-1
9448::span:87:88	-1
9458::span:73:74	-1
9468::span:98:99	-1
9478::span:84:85	-1
9488::span:73:74	-1
9498::span:76:77	-1
9508::span:86:87	-1
9518::span:87:88	-1
9528::span:85:86	-1
9538::span:72:73	-1
9548::span:96:97	-1
9558::span:73:74	-1
9568::span:75:76	-1
9578::span:89:90	-1
9588::span:89:90	-1
